date,school_closing,workplace_closing,cancel_events,gatherings_restrictions,transport_closing,stay_home_restrictions,internal_movement_restrictions,international_movement_restrictions,information_campaigns,testing_policy,contact_tracing,facial_coverings,vaccination_policy,elderly_people_protection,district,fed_state,mean_incidence,num_of_entries
2020-08-08,-2,-2,2,-3,0,0,-2,3,2,3,2,2,0,2,LK Waldshut,Baden-Württemberg,5.3650801808978805,13
2020-08-24,-2,-2,2,-4,0,0,-2,3,2,3,2,2,0,2,LK Waldshut,Baden-Württemberg,9.260398900474154,10
2020-09-04,1,-2,2,-4,0,0,0,3,2,3,2,2,0,2,LK Waldshut,Baden-Württemberg,9.505828776396534,32
2020-10-15,1,-2,2,-4,0,1,1,3,2,3,2,2,0,2,LK Waldshut,Baden-Württemberg,38.76640769366668,7
2020-10-22,1,-2,2,-4,0,-2,1,3,2,3,2,2,0,2,LK Waldshut,Baden-Württemberg,94.73526608195083,11
2020-11-02,1,2,2,4,0,1,1,3,2,3,2,2,0,2,LK Waldshut,Baden-Württemberg,166.25737266463094,9
2020-11-11,1,2,2,4,0,1,1,3,2,1,2,2,0,2,LK Waldshut,Baden-Württemberg,159.11105106144467,19
2020-11-30,1,2,2,4,1,1,1,3,2,1,2,2,0,2,LK Waldshut,Baden-Württemberg,180.08936089571895,15
2020-12-15,3,2,2,4,1,1,1,3,2,1,2,2,0,2,LK Waldshut,Baden-Württemberg,191.0689899718085,1
2020-12-16,3,3,2,4,1,2,1,3,2,1,2,2,0,2,LK Waldshut,Baden-Württemberg,221.4396883220402,11
2020-12-27,3,3,2,4,1,2,1,3,2,1,2,2,2,2,LK Waldshut,Baden-Württemberg,162.0895419358662,9
2021-01-05,3,3,2,4,1,2,-2,3,2,1,1,2,2,2,LK Waldshut,Baden-Württemberg,134.0999536980055,5
2021-01-10,3,3,2,4,1,-2,-2,3,2,1,1,2,2,2,LK Waldshut,Baden-Württemberg,111.59645872075316,42
2021-02-22,-3,3,2,4,1,-2,-2,3,2,1,1,2,2,2,LK Waldshut,Baden-Württemberg,55.38656304397517,2
2021-02-24,-3,3,2,4,1,-2,-2,3,2,1,1,2,3,2,LK Waldshut,Baden-Württemberg,60.60286369044479,5
2021-03-01,-3,2,2,4,1,-2,-2,3,2,1,1,2,3,2,LK Waldshut,Baden-Württemberg,78.25993341273461,19
2021-03-20,-3,2,2,4,1,-2,1,3,2,3,1,2,3,2,LK Waldshut,Baden-Württemberg,125.77917735022162,63
2021-05-22,-3,2,2,4,1,-2,1,3,2,3,2,2,3,2,LK Waldshut,Baden-Württemberg,47.278829829425014,9
2021-05-31,1,2,2,4,1,-2,1,3,2,3,2,2,3,2,LK Waldshut,Baden-Württemberg,30.08652807327046,6
2021-06-06,1,2,2,4,1,1,1,3,2,3,2,2,3,2,LK Waldshut,Baden-Württemberg,19.34133947567387,1
2021-06-07,1,2,2,4,1,1,1,3,2,3,2,2,5,2,LK Waldshut,Baden-Württemberg,8.678806174981863,52
2021-08-01,1,2,2,4,1,1,1,2,2,3,2,2,5,2,LK Waldshut,Baden-Württemberg,19.634390073790144,2
2021-08-03,1,2,2,4,1,1,0,2,2,3,2,2,5,2,LK Waldshut,Baden-Württemberg,27.54675622292945,16
2021-08-20,1,2,2,3,1,1,0,2,2,3,2,2,5,2,LK Waldshut,Baden-Württemberg,60.75915734277347,3
2021-08-23,-3,2,2,3,1,1,0,2,2,3,2,2,5,2,LK Waldshut,Baden-Württemberg,83.46081034351391,5
2021-08-28,-3,-2,2,3,1,1,0,2,2,3,2,2,5,2,LK Waldshut,Baden-Württemberg,92.33348076032654,13
2021-09-11,1,-2,2,3,1,1,0,2,2,3,2,2,5,2,LK Waldshut,Baden-Württemberg,87.2118579994022,10
2021-09-21,1,-2,2,-3,1,1,0,2,2,3,2,2,5,2,LK Waldshut,Baden-Württemberg,48.8417663527118,9
2021-10-01,1,-2,-2,-3,1,1,0,2,2,3,2,2,5,2,LK Waldshut,Baden-Württemberg,54.6539365486845,8
2021-10-10,1,-2,-2,-3,0,1,0,2,2,3,2,2,5,2,LK Waldshut,Baden-Württemberg,57.28162357846039,15
2021-10-28,1,-2,2,-4,0,1,0,2,2,3,2,2,5,2,LK Waldshut,Baden-Württemberg,134.80327513348453,10
2021-11-10,-2,-2,2,-4,0,1,0,2,2,3,2,2,5,2,LK Waldshut,Baden-Württemberg,249.7963298343092,5
2021-11-15,1,-2,2,4,0,2,-2,2,2,3,2,2,5,2,LK Waldshut,Baden-Württemberg,460.5499471252992,70
2022-01-24,1,1,1,4,0,2,0,2,2,3,2,2,5,3,LK Waldshut,Baden-Württemberg,1679.2057846119474,68
2022-04-03,1,1,0,0,0,1,1,2,2,3,2,2,5,3,LK Waldshut,Baden-Württemberg,963.880048529179,16
2022-04-19,1,1,0,0,0,1,1,1,2,3,2,2,5,3,LK Waldshut,Baden-Württemberg,575.0629570368287,6
2022-04-25,0,1,0,0,0,1,1,1,2,3,2,2,5,3,LK Waldshut,Baden-Württemberg,537.7152863657884,9
2022-05-04,0,1,0,0,0,1,0,1,2,3,2,2,5,3,LK Waldshut,Baden-Württemberg,351.6932789170934,18
2022-05-23,0,0,0,0,0,1,0,1,2,3,2,2,5,3,LK Waldshut,Baden-Württemberg,198.10220432659904,9
2022-05-31,0,0,0,0,0,1,0,1,2,3,2,2,5,2,LK Waldshut,Baden-Württemberg,249.9455192297138,11
2022-06-12,0,0,0,0,0,1,0,0,2,3,2,2,5,2,LK Waldshut,Baden-Württemberg,347.04578647171064,119
2022-10-10,0,0,0,0,0,1,1,1,2,3,2,2,5,3,LK Waldshut,Baden-Württemberg,552.5957445145813,24
2022-11-22,0,0,0,0,0,1,0,0,2,3,2,2,5,3,LK Waldshut,Baden-Württemberg,199.127881420006,40
2020-03-18,3,0,-2,-1,0,1,1,4,2,1,1,0,0,1,LK Waldshut,Baden-Württemberg,9.963720335953209,1
2020-03-09,-2,0,1,0,0,1,0,1,2,1,2,0,0,1,LK Waldshut,Baden-Württemberg,,0
2020-05-03,3,2,2,-4,0,-2,-2,4,2,3,1,2,0,3,LK Waldshut,Baden-Württemberg,,0
